,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
34,South Africa,Port Elizabeth,79,Moderate,3,1,18,0,5,2,79,Moderate
35,United States of America,Port Neches,34,Good,1,0,19,0,7,2,34,Good
36,United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,0,20,0,5,2,51,Moderate
37,United States of America,Portales,77,Moderate,1,0,34,2,0,0,77,Moderate
38,United States of America,Post Falls,61,Moderate,1,0,32,2,3,1,61,Moderate
39,Brazil,Pouso Alegre,32,Good,1,0,7,0,2,1,32,Good
40,China,Dalinghe,64,Moderate,3,1,64,3,4,1,64,Moderate
41,Russian Federation,Dalnegorsk,29,Good,0,0,29,1,0,0,25,Good
42,United Republic of Tanzania,Dar Es Salaam,51,Moderate,1,0,23,1,0,0,51,Moderate
43,India,Darbhanga,247,Very Unhealthy,3,1,162,3,1,0,247,Very Unhealthy
44,United States of America,Dayton,45,Good,1,0,32,2,7,2,45,Good
45,Belgium,Deinze,36,Good,1,0,25,1,3,1,36,Good
46,Egypt,Dekernes,81,Moderate,2,1,81,3,4,1,56,Moderate
47,Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,1,15,0,5,2,124,Unhealthy for Sensitive Groups
48,United States of America,Deming,72,Moderate,1,0,26,1,2,1,72,Moderate
49,United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,0,32,2,1,0,55,Moderate
50,United States of America,Destin,31,Good,0,0,31,1,0,0,25,Good
51,Pakistan,Dhadar,157,Unhealthy,1,0,89,3,0,0,157,Unhealthy
52,India,Dharmapuri,60,Moderate,1,0,31,1,1,0,60,Moderate
53,Pakistan,Digri,153,Unhealthy,1,0,40,2,0,0,153,Unhealthy
54,Somalia,Dinsor,22,Good,0,0,19,0,0,0,22,Good
55,Philippines,Dipolog,30,Good,1,0,17,0,0,0,30,Good
56,Latvia,Dobele,44,Good,1,0,34,2,0,0,44,Good
57,United States of America,Grandville,47,Good,1,0,37,2,4,1,47,Good
58,Netherlands,Grave,37,Good,0,0,32,2,2,1,37,Good
59,United States of America,Green Valley,44,Good,1,0,14,0,8,2,44,Good
60,United States of America,Greendale,58,Moderate,2,1,14,0,24,2,58,Moderate
61,Poland,Grudziadz,37,Good,0,0,33,2,0,0,37,Good
62,Colombia,Guamo,89,Moderate,3,1,3,0,6,2,89,Moderate
63,Italy,Guardiagrele,52,Moderate,2,1,38,2,7,2,52,Moderate
64,Chad,Guelengdeng,59,Moderate,2,1,16,0,0,0,59,Moderate
65,United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,0,25,1,6,2,51,Moderate
66,Philippines,Guiset,66,Moderate,1,0,26,1,1,0,66,Moderate
67,Russian Federation,Gukovo,38,Good,1,0,38,2,0,0,13,Good
68,United States of America,Havre De Grace,34,Good,1,0,30,1,7,2,34,Good
69,United States of America,Hazelwood,88,Moderate,2,1,11,0,20,2,88,Moderate
70,Germany,Heddesheim,54,Moderate,1,0,31,1,3,1,54,Moderate
71,Germany,Heiligenhaus,44,Good,1,0,28,1,3,1,44,Good
72,United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,0,26,1,6,2,51,Moderate
73,United States of America,Hicksville,67,Moderate,2,1,15,0,23,2,67,Moderate
74,Brazil,Hidrolandia,42,Good,1,0,5,0,2,1,42,Good
75,India,Gyanpur,189,Unhealthy,2,1,99,3,1,0,189,Unhealthy
76,Germany,Haiger,49,Good,1,0,25,1,3,1,49,Good
77,China,Hangzhou,203,Very Unhealthy,5,1,203,3,5,2,151,Unhealthy
78,Germany,Harrislee,35,Good,0,0,32,2,0,0,35,Good
79,United States of America,Harrison,90,Moderate,1,0,25,1,2,1,90,Moderate
80,India,Harur,67,Moderate,1,0,26,1,1,0,67,Moderate
81,Germany,Hasbergen,36,Good,0,0,34,2,1,0,36,Good
82,France,Haubourdin,48,Good,1,0,28,1,4,1,48,Good
83,United States of America,Taunton,41,Good,1,0,28,1,10,2,41,Good
84,New Zealand,Tauranga,19,Good,0,0,19,0,1,0,17,Good
85,Tunisia,Tawzar,73,Moderate,1,0,43,3,0,0,73,Moderate
86,Viet Nam,Tay Ninh,45,Good,0,0,18,0,1,0,45,Good
87,Iran (Islamic Republic of),Taybad,170,Unhealthy,1,0,43,3,0,0,170,Unhealthy
88,Italy,Teano,47,Good,1,0,47,3,1,0,36,Good
89,India,Tekkali,155,Unhealthy,3,1,82,3,1,0,155,Unhealthy
90,Brazil,Teodoro Sampaio,46,Good,1,0,9,0,1,0,46,Good
91,Mexico,Tepeaca,172,Unhealthy,5,1,2,0,11,2,172,Unhealthy
92,Mexico,Tequila,64,Moderate,1,0,15,0,2,1,64,Moderate
93,Italy,Teramo,44,Good,1,0,44,3,1,0,38,Good
94,Viet Nam,Thai Nguyen,150,Unhealthy,3,1,150,3,1,0,105,Unhealthy for Sensitive Groups
95,China,Tianjin,142,Unhealthy for Sensitive Groups,4,1,113,3,9,2,142,Unhealthy for Sensitive Groups
96,Indonesia,Tidore,21,Good,0,0,13,0,0,0,21,Good
97,Romania,Timisoara,47,Good,1,0,42,3,0,0,47,Good
98,Tunisia,Tinjah,48,Good,1,0,48,3,1,0,29,Good
99,Philippines,Toboso,54,Moderate,1,0,20,0,0,0,54,Moderate
100,Japan,Tokorozawa,60,Moderate,1,0,44,3,3,1,60,Moderate
101,Mexico,Toluca,166,Unhealthy,4,1,8,0,19,2,166,Unhealthy
102,Brazil,Itapissuma,27,Good,0,0,23,1,1,0,27,Good
103,Brazil,Itarantim,23,Good,1,0,7,0,1,0,23,Good
104,Brazil,Itumbiara,31,Good,1,0,13,0,0,0,31,Good
105,Mexico,Ixtaczoquitlan,88,Moderate,3,1,13,0,9,2,88,Moderate
106,El Salvador,Izalco,90,Moderate,2,1,22,1,9,2,90,Moderate
107,United Republic of Tanzania,Izazi,28,Good,1,0,15,0,0,0,28,Good
108,Russian Federation,Izberbash,51,Moderate,1,0,38,2,0,0,51,Moderate
109,India,Jabalpur,170,Unhealthy,1,0,38,2,0,0,170,Unhealthy
110,Brazil,Jaguaquara,22,Good,0,0,9,0,1,0,22,Good
111,India,Jahanabad,168,Unhealthy,4,1,168,3,1,0,156,Unhealthy
112,Bulgaria,Jambol,40,Good,1,0,40,2,0,0,32,Good
113,Poland,Jarocin,47,Good,1,0,27,1,2,1,47,Good
114,Philippines,Jasaan,59,Moderate,1,0,32,2,0,0,59,Moderate
115,Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,1,23,1,3,1,133,Unhealthy for Sensitive Groups
116,Finland,Imatra,29,Good,1,0,29,1,1,0,7,Good
117,Brazil,Indaial,73,Moderate,2,1,2,0,8,2,73,Moderate
118,Philippines,Indang,50,Good,0,0,24,1,0,0,50,Good
119,Brazil,Itagi,25,Good,0,0,9,0,1,0,25,Good
120,Nigeria,Iseyin,90,Moderate,3,1,18,0,2,1,90,Moderate
121,Mexico,Isla,81,Moderate,2,1,26,1,3,1,81,Moderate
122,Brazil,Itaitinga,29,Good,0,0,20,0,1,0,29,Good
123,Brazil,Itambe,21,Good,0,0,8,0,1,0,21,Good
124,Brazil,Itapemirim,44,Good,1,0,16,0,1,0,44,Good
125,South Sudan,Torit,65,Moderate,1,0,12,0,0,0,65,Moderate
126,Guatemala,Totonicapan,66,Moderate,2,1,7,0,6,2,66,Moderate
127,United States of America,Trenton,53,Moderate,1,0,28,1,10,2,53,Moderate
128,United States of America,Trujillo Alto,56,Moderate,0,0,23,1,0,0,56,Moderate
129,Ireland,Tullamore,57,Moderate,1,0,26,1,3,1,57,Moderate
130,Turkey,Tunceli,62,Moderate,0,0,35,2,0,0,62,Moderate
131,Viet Nam,Tuyen Quang,167,Unhealthy,4,1,167,3,1,0,107,Unhealthy for Sensitive Groups
132,United States of America,Two Rivers,49,Good,1,0,27,1,4,1,49,Good
133,United States of America,Tysons Corner,55,Moderate,2,1,25,1,11,2,55,Moderate
134,Russian Federation,Tyukalinsk,34,Good,1,0,34,2,0,0,32,Good
135,India,Udupi,80,Moderate,1,0,25,1,0,0,80,Moderate
136,India,Umaria,163,Unhealthy,2,1,92,3,0,0,163,Unhealthy
137,United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,1,3,0,36,2,126,Unhealthy for Sensitive Groups
138,United States of America,Wilmette,63,Moderate,2,1,9,0,22,2,63,Moderate
139,United States of America,Wolf Trap,53,Moderate,2,1,27,1,10,2,53,Moderate
140,United States of America,Woodhaven,86,Moderate,2,1,38,2,10,2,86,Moderate
141,China,Wulanhaote,47,Good,2,1,47,3,0,0,25,Good
142,China,Xiangdong,78,Moderate,2,1,25,1,7,2,78,Moderate
143,China,Xiaoweizhai,61,Moderate,2,1,61,3,0,0,54,Moderate
144,China,Xushan,112,Unhealthy for Sensitive Groups,2,1,44,3,4,1,112,Unhealthy for Sensitive Groups
145,Peru,Yanacancha,27,Good,0,0,6,0,1,0,27,Good
146,China,Yancheng,155,Unhealthy,3,1,155,3,2,1,151,Unhealthy
147,Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,1,24,1,0,0,121,Unhealthy for Sensitive Groups
148,China,Yanggu,160,Unhealthy,3,1,138,3,5,2,160,Unhealthy
149,China,Yangliuqing,144,Unhealthy for Sensitive Groups,4,1,109,3,9,2,144,Unhealthy for Sensitive Groups
150,China,Yanji,69,Moderate,2,1,48,3,0,0,69,Moderate
151,United States of America,Yankton,47,Good,1,0,34,2,3,1,47,Good
152,Germany,Wenden,69,Moderate,1,0,34,2,4,1,69,Moderate
153,United States of America,West Carrollton City,84,Moderate,3,1,9,0,24,2,84,Moderate
154,Belgium,Wetteren,64,Moderate,1,0,32,2,6,2,64,Moderate
155,Canada,Whitehorse,20,Good,1,0,20,0,1,0,10,Good
156,Ireland,Wicklow,38,Good,1,0,30,1,3,1,38,Good
157,Switzerland,Wil,59,Moderate,1,0,27,1,3,1,59,Moderate
158,Germany,Wildeshausen,67,Moderate,1,0,30,1,5,2,67,Moderate
159,United States of America,Williamsport,75,Moderate,2,1,13,0,16,2,75,Moderate
160,United States of America,Fox Lake,60,Moderate,2,1,18,0,21,2,60,Moderate
161,Brazil,Foz Do Iguacu,22,Good,1,0,13,0,0,0,22,Good
162,Denmark,Frederikssund,36,Good,1,0,36,2,0,0,25,Good
163,United States of America,Friendly,41,Good,1,0,30,1,8,2,41,Good
164,Germany,Fuldatal,44,Good,1,0,28,1,2,1,44,Good
165,Japan,Furano,29,Good,1,0,26,1,1,0,29,Good
166,China,Fuzhou,168,Unhealthy,3,1,168,3,5,2,99,Moderate
167,United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,0,25,1,3,1,23,Good
168,Germany,Gangelt,41,Good,1,0,26,1,4,1,41,Good
169,Germany,Garbsen,36,Good,0,0,33,2,1,0,36,Good
170,Cameroon,Garoua,59,Moderate,2,1,12,0,0,0,59,Moderate
171,Somalia,Garowe,98,Moderate,0,0,17,0,0,0,98,Moderate
172,Netherlands,Geertruidenberg,35,Good,0,0,33,2,2,1,35,Good
173,Australia,Geraldton,29,Good,0,0,29,1,0,0,13,Good
174,Germany,Germersheim,51,Moderate,1,0,29,1,3,1,51,Moderate
175,Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,1,9,0,6,2,103,Unhealthy for Sensitive Groups
176,Russian Federation,Glubokiy,35,Good,1,0,35,2,0,0,17,Good
177,United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,0,30,1,4,1,35,Good
178,Portugal,Gondomar,27,Good,0,0,27,1,2,1,21,Good
179,Russian Federation,Goryachevodskiy,48,Good,1,0,39,2,1,0,48,Good
180,India,Govindgarh,307,Hazardous,1,0,45,3,0,0,307,Hazardous
181,Côte d'Ivoire,Grand Lahou,54,Moderate,1,0,25,1,0,0,54,Moderate
182,United States of America,Hoffman Estates,61,Moderate,2,1,26,1,16,2,61,Moderate
183,Sweden,Hoganas,36,Good,1,0,36,2,1,0,30,Good
184,United States of America,Holly Springs,42,Good,1,0,42,3,2,1,37,Good
185,Germany,Holzminden,42,Good,0,0,32,2,1,0,42,Good
186,China,Huaicheng,151,Unhealthy,4,1,45,3,4,1,151,Unhealthy
187,Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,0,23,1,0,0,102,Unhealthy for Sensitive Groups
188,Nigeria,Idanre,115,Unhealthy for Sensitive Groups,3,1,24,1,2,1,115,Unhealthy for Sensitive Groups
189,Italy,Iglesias,64,Moderate,1,0,53,3,1,0,64,Moderate
190,Germany,Ihlow,40,Good,1,0,30,1,2,1,40,Good
191,Japan,Iizuka,45,Good,1,0,45,3,0,0,38,Good
192,Thailand,Sungai Kolok,65,Moderate,1,0,34,2,0,0,65,Moderate
193,Indonesia,Sungaipenuh,17,Good,1,0,13,0,0,0,17,Good
194,Russian Federation,Suvorovskaya,52,Moderate,1,0,39,2,1,0,52,Moderate
195,Japan,Suzu,69,Moderate,1,0,69,3,1,0,60,Moderate
196,Poland,Swiecie,44,Good,1,0,33,2,1,0,44,Good
197,Hungary,Szeged,50,Good,1,0,41,3,1,0,50,Good
198,Hungary,Szerencs,72,Moderate,1,0,42,3,1,0,72,Moderate
199,Tunisia,Taburbah,49,Good,1,0,49,3,1,0,32,Good
200,India,Tadepallegudem,127,Unhealthy for Sensitive Groups,2,1,65,3,1,0,127,Unhealthy for Sensitive Groups
201,Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,1,125,3,1,0,82,Moderate
202,Philippines,Tagaytay,41,Good,1,0,25,1,1,0,41,Good
203,Japan,Tajimi,52,Moderate,1,0,34,2,3,1,52,Moderate
204,Japan,Takahagi,47,Good,1,0,47,3,1,0,44,Good
205,Japan,Takahashi,36,Good,1,0,36,2,3,1,34,Good
206,India,Tal,155,Unhealthy,1,0,39,2,0,0,155,Unhealthy
207,Philippines,Talacogon,37,Good,1,0,19,0,0,0,37,Good
208,Russian Federation,Taldom,46,Good,1,0,27,1,1,0,46,Good
209,Kazakhstan,Talgar,69,Moderate,1,0,42,3,0,0,69,Moderate
210,United States of America,Tamiami,64,Moderate,1,0,18,0,12,2,64,Moderate
211,Israel,Tamra,92,Moderate,2,1,52,3,8,2,92,Moderate
212,Japan,Tanashi,58,Moderate,1,0,43,3,3,1,58,Moderate
213,Romania,Tandarei,41,Good,1,0,41,3,0,0,38,Good
214,Philippines,Tantangan,35,Good,1,0,20,0,0,0,35,Good
215,Indonesia,Tarogong,88,Moderate,2,1,53,3,1,0,88,Moderate
216,Turkey,Tatvan,45,Good,0,0,45,3,0,0,43,Good
217,India,Yaval,102,Unhealthy for Sensitive Groups,1,0,38,2,0,0,102,Unhealthy for Sensitive Groups
218,United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,0,24,1,7,2,58,Moderate
219,China,Yuanping,143,Unhealthy for Sensitive Groups,2,1,35,2,5,2,143,Unhealthy for Sensitive Groups
220,China,Yuncheng,187,Unhealthy,2,1,36,2,8,2,187,Unhealthy
221,Poland,Zambrow,35,Good,1,0,35,2,0,0,17,Good
222,Poland,Zamosc,48,Good,1,0,35,2,1,0,48,Good
223,Belgium,Zaventem,58,Moderate,1,0,29,1,6,2,58,Moderate
224,Belgium,Zemst,65,Moderate,1,0,27,1,8,2,65,Moderate
225,China,Zhaozhou,73,Moderate,2,1,66,3,0,0,73,Moderate
226,China,Zhicheng,160,Unhealthy,4,1,36,2,13,2,160,Unhealthy
227,China,Zhongshan,98,Moderate,3,1,33,2,9,2,98,Moderate
228,China,Zhuji,156,Unhealthy,4,1,45,3,10,2,156,Unhealthy
229,Mexico,Zimatlan,75,Moderate,2,1,9,0,6,2,75,Moderate
230,Mexico,Zinacantepec,163,Unhealthy,4,1,8,0,18,2,163,Unhealthy
231,Russian Federation,Zmeinogorsk,35,Good,1,0,35,2,0,0,21,Good
232,Netherlands,Aalburg,30,Good,0,0,30,1,2,1,29,Good
233,Spain,Abaran,47,Good,1,0,21,0,2,1,47,Good
234,Italy,Abbiategrasso,69,Moderate,1,0,37,2,4,1,69,Moderate
235,Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,1,15,0,4,1,105,Unhealthy for Sensitive Groups
236,Mexico,Acuautla,189,Unhealthy,2,1,9,0,15,2,189,Unhealthy
237,United States of America,Acworth,64,Moderate,2,1,37,2,8,2,64,Moderate
238,United States of America,Adelphi,54,Moderate,1,0,32,2,5,2,54,Moderate
239,India,Afzalgarh,198,Unhealthy,4,1,198,3,3,1,188,Unhealthy
240,Nigeria,Agbor,139,Unhealthy for Sensitive Groups,7,1,13,0,5,2,139,Unhealthy for Sensitive Groups
241,France,Aix En Provence,55,Moderate,1,0,26,1,3,1,55,Moderate
242,Myanmar,Akyab,145,Unhealthy for Sensitive Groups,1,0,46,3,0,0,145,Unhealthy for Sensitive Groups
243,United States of America,Alabaster,80,Moderate,1,0,18,0,10,2,80,Moderate
244,Russian Federation,Alagir,50,Good,1,0,36,2,1,0,50,Good
245,Belgium,Alken,35,Good,1,0,25,1,3,1,35,Good
246,Canada,Alma,55,Moderate,1,0,27,1,0,0,55,Moderate
247,Brazil,Almirante Tamandare,13,Good,1,0,12,0,1,0,13,Good
248,Spain,Almoradi,48,Good,1,0,23,1,3,1,48,Good
249,Papua New Guinea,Alotau,28,Good,0,0,28,1,0,0,13,Good
250,Germany,Altotting,50,Good,1,0,29,1,3,1,50,Good
251,Madagascar,Ambovombe,26,Good,0,0,26,1,0,0,20,Good
252,China,Anqiu,107,Unhealthy for Sensitive Groups,2,1,107,3,5,2,86,Moderate
253,Madagascar,Antalaha,22,Good,0,0,22,1,0,0,20,Good
254,United States of America,Antioch,76,Moderate,3,1,7,0,25,2,76,Moderate
255,Lithuania,Anyksciai,47,Good,1,0,32,2,0,0,47,Good
256,Ghana,Apam,104,Unhealthy for Sensitive Groups,2,1,14,0,1,0,104,Unhealthy for Sensitive Groups
257,Mexico,Apaseo El Grande,60,Moderate,1,0,16,0,5,2,60,Moderate
258,Brazil,Aragarcas,32,Good,1,0,3,0,2,1,32,Good
259,Russian Federation,Arkadak,28,Good,1,0,28,1,1,0,15,Good
260,France,Armentieres,34,Good,0,0,28,1,2,1,34,Good
261,Russian Federation,Arsk,28,Good,1,0,28,1,1,0,19,Good
262,Azerbaijan,Artyom,48,Good,1,0,35,2,0,0,48,Good
263,Armenia,Ashtarak,39,Good,1,0,29,1,1,0,39,Good
264,Ethiopia,Asosa,97,Moderate,1,0,14,0,0,0,97,Moderate
265,Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,Moderate,1,0,37,2,0,0,75,Moderate
266,India,Atarra,194,Unhealthy,1,0,44,3,0,0,194,Unhealthy
267,Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,1,5,0,10,2,104,Unhealthy for Sensitive Groups
268,Italy,Atri,57,Moderate,1,0,40,2,3,1,57,Moderate
269,Ukraine,Avdiyivka,41,Good,1,0,41,3,3,1,27,Good
270,Portugal,Avintes,37,Good,1,0,16,0,7,2,37,Good
271,Malaysia,Ayer Keroh,59,Moderate,1,0,34,2,0,0,59,Moderate
272,United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,0,29,1,2,1,20,Good
273,Netherlands,Baarn,34,Good,0,0,34,2,1,0,26,Good
274,Serbia,Backa Palanka,70,Moderate,1,0,41,3,0,0,70,Moderate
275,Germany,Bad Langensalza,32,Good,0,0,30,1,1,0,32,Good
276,Pakistan,Bahawalnagar,500,Hazardous,1,0,38,2,1,0,466,Hazardous
277,South Africa,Balfour,380,Hazardous,31,1,1,0,26,2,380,Hazardous
278,South Africa,Ballitoville,222,Very Unhealthy,12,1,5,0,14,2,222,Very Unhealthy
279,Thailand,Ban Phai,52,Moderate,0,0,28,1,0,0,52,Moderate
280,Malaysia,Bandar Penggaram,76,Moderate,1,0,39,2,0,0,76,Moderate
281,Philippines,Bangued,27,Good,0,0,23,1,0,0,27,Good
282,Slovakia,Banovce,59,Moderate,1,0,26,1,2,1,59,Moderate
283,Germany,Bargteheide,38,Good,0,0,28,1,2,1,38,Good
284,United States of America,Bartlesville,56,Moderate,1,0,23,1,6,2,56,Moderate
285,Gambia,Basse,127,Unhealthy for Sensitive Groups,1,0,18,0,0,0,127,Unhealthy for Sensitive Groups
286,Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,0,117,3,1,0,78,Moderate
287,Malaysia,Batu Gajah,92,Moderate,2,1,57,3,1,0,92,Moderate
288,India,Bazpur,182,Unhealthy,5,1,170,3,5,2,182,Unhealthy
289,Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,1,32,2,7,2,124,Unhealthy for Sensitive Groups
290,Italy,Catanzaro,68,Moderate,2,1,68,3,6,2,57,Moderate
291,Philippines,Catbalogan,68,Moderate,1,0,26,1,0,0,68,Moderate
292,Ecuador,Cayambe,39,Good,1,0,4,0,2,1,39,Good
293,Bosnia and Herzegovina,Cazin,50,Good,1,0,33,2,0,0,50,Good
294,Italy,Cernusco Sul Naviglio,103,Unhealthy for Sensitive Groups,1,0,33,2,6,2,103,Unhealthy for Sensitive Groups
295,Italy,Cesenatico,38,Good,1,0,36,2,5,2,38,Good
296,Czechia,Ceske Budejovice,61,Moderate,1,0,38,2,1,0,61,Moderate
297,Argentina,Chacabuco,17,Good,0,0,17,0,1,0,17,Good
298,Peru,Chachapoyas,21,Good,0,0,4,0,0,0,21,Good
299,France,Chalon Sur Saone,32,Good,1,0,32,2,1,0,20,Good
300,China,Chaoyang,151,Unhealthy,3,1,119,3,1,0,151,Unhealthy
301,Viet Nam,Chau Doc,57,Moderate,1,0,32,2,0,0,57,Moderate
302,Russian Federation,Cherepanovo,38,Good,1,0,38,2,0,0,35,Good
303,Russian Federation,Cherkessk,49,Good,1,0,40,2,0,0,49,Good
304,India,Chhabra,171,Unhealthy,1,0,42,3,0,0,171,Unhealthy
305,India,Chilakalurupet,91,Moderate,1,0,28,1,1,0,91,Moderate
306,Mexico,Chilpancingo,72,Moderate,2,1,4,0,5,2,72,Moderate
307,India,Chipurupalle,153,Unhealthy,2,1,22,1,6,2,153,Unhealthy
308,Poland,Chojnow,59,Moderate,1,0,25,1,2,1,59,Moderate
309,India,Chotila,157,Unhealthy,0,0,31,1,1,0,157,Unhealthy
310,United States of America,Cimarron Hills,73,Moderate,1,0,32,2,2,1,73,Moderate
311,Brazil,Claudio,71,Moderate,2,1,3,0,6,2,71,Moderate
312,Brazil,Clevelandia,17,Good,0,0,17,0,0,0,11,Good
313,Brazil,Coari,46,Good,1,0,2,0,0,0,46,Good
314,United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,Good,1,0,12,0,9,2,35,Good
315,Ireland,Cobh,24,Good,0,0,24,1,1,0,16,Good
316,Brazil,Colatina,45,Good,1,0,14,0,2,1,45,Good
317,Romania,Comanesti,61,Moderate,1,0,40,2,0,0,61,Moderate
318,Dominican Republic,Comendador,65,Moderate,1,0,12,0,6,2,65,Moderate
319,Italy,Como,112,Unhealthy for Sensitive Groups,1,0,34,2,4,1,112,Unhealthy for Sensitive Groups
320,Brazil,Conde,19,Good,0,0,19,0,0,0,11,Good
321,United Kingdom of Great Britain and Northern Ireland,Consett,31,Good,0,0,31,1,2,1,22,Good
322,United States of America,Cooper City,152,Unhealthy,4,1,4,0,19,2,152,Unhealthy
323,United States of America,Copperas Cove,31,Good,1,0,21,0,1,0,31,Good
324,Brazil,Cornelio Procopio,37,Good,1,0,12,0,1,0,37,Good
325,Argentina,Corrientes,13,Good,1,0,12,0,0,0,13,Good
326,Mexico,Cotija,41,Good,1,0,8,0,3,1,41,Good
327,Italy,Crevalcore,103,Unhealthy for Sensitive Groups,2,1,28,1,9,2,103,Unhealthy for Sensitive Groups
328,Azerbaijan,Culfa,52,Moderate,1,0,35,2,0,0,52,Moderate
329,Spain,Culleredo,30,Good,0,0,30,1,2,1,13,Good
330,India,Cuncolim,73,Moderate,0,0,25,1,0,0,73,Moderate
331,Brazil,Curvelo,42,Good,1,0,2,0,4,1,42,Good
332,Germany,Cuxhaven,35,Good,0,0,35,2,0,0,30,Good
333,United States of America,Cypress Lake,46,Good,1,0,25,1,5,2,46,Good
334,Poland,Czestochowa,93,Moderate,1,0,27,1,4,1,93,Moderate
335,Guinea,Dalaba,63,Moderate,2,1,13,0,0,0,63,Moderate
336,Pakistan,Dalbandin,160,Unhealthy,0,0,39,2,0,0,160,Unhealthy
337,France,Beaune,39,Good,1,0,26,1,1,0,39,Good
338,United States of America,Bedford,56,Moderate,1,0,18,0,6,2,56,Moderate
339,Ghana,Begoro,105,Unhealthy for Sensitive Groups,2,1,13,0,2,1,105,Unhealthy for Sensitive Groups
340,China,Beipiao,93,Moderate,2,1,90,3,1,0,93,Moderate
